Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT5G57620	AtMYB36	17	na	PWM1054	CisBP	M2239_1.01	1	0.0000018645383525560283	0.0033431172661329586	29	AT1G29270,AT1G45145,AT2G05380,AT2G05520,AT2G13790,AT2G25735,AT2G30490,AT2G37040,AT2G42600,AT2G43340,AT2G47650,AT3G13750,AT3G15840,AT3G18200,AT3G20370,AT3G29250,AT3G52430,AT4G01950,AT4G20460,AT4G22610,AT4G30530,AT4G34230,AT4G36220,AT5G07460,AT5G10430,AT5G24140,AT5G47730,AT5G48930,AT5G49360	na
AT5G65790	ATMYB68	5	0	PWM1055	CisBP	M2239_1.01	2	0.0000018645383525560283	0.0033431172661329586	29	AT1G29270,AT1G45145,AT2G05380,AT2G05520,AT2G13790,AT2G25735,AT2G30490,AT2G37040,AT2G42600,AT2G43340,AT2G47650,AT3G13750,AT3G15840,AT3G18200,AT3G20370,AT3G29250,AT3G52430,AT4G01950,AT4G20460,AT4G22610,AT4G30530,AT4G34230,AT4G36220,AT5G07460,AT5G10430,AT5G24140,AT5G47730,AT5G48930,AT5G49360	
AT3G49690	ATMYB84	0	0	PWM1056	CisBP	M2239_1.01	3	0.0000018645383525560283	0.0033431172661329586	29	AT1G29270,AT1G45145,AT2G05380,AT2G05520,AT2G13790,AT2G25735,AT2G30490,AT2G37040,AT2G42600,AT2G43340,AT2G47650,AT3G13750,AT3G15840,AT3G18200,AT3G20370,AT3G29250,AT3G52430,AT4G01950,AT4G20460,AT4G22610,AT4G30530,AT4G34230,AT4G36220,AT5G07460,AT5G10430,AT5G24140,AT5G47730,AT5G48930,AT5G49360	
AT3G49690	ATMYB84	0	0	PWM2175	JASPAR	MA0576.1	4	0.0000018645383525560283	0.0033431172661329586	29	AT1G29270,AT1G45145,AT2G05380,AT2G05520,AT2G13790,AT2G25735,AT2G30490,AT2G37040,AT2G42600,AT2G43340,AT2G47650,AT3G13750,AT3G15840,AT3G18200,AT3G20370,AT3G29250,AT3G52430,AT4G01950,AT4G20460,AT4G22610,AT4G30530,AT4G34230,AT4G36220,AT5G07460,AT5G10430,AT5G24140,AT5G47730,AT5G48930,AT5G49360	
AT1G53910	RAP212	0	2	PWM1149	CisBP	M0021_1.01	5	0.000005976365712348945	0.0021431247444483317	28	AT1G07260,AT1G29270,AT1G34110,AT1G69530,AT2G05520,AT2G13790,AT2G26500,AT2G26530,AT2G30490,AT2G35730,AT2G37040,AT2G37640,AT2G43050,AT2G43340,AT3G01970,AT3G06750,AT3G09010,AT3G13650,AT3G13750,AT3G25930,AT4G22610,AT4G30530,AT4G36220,AT5G18600,AT5G24140,AT5G40450,AT5G49360,AT5G57560	AT4G31500,AT5G48930
AT1G53230	TCP3	1	0	PWM1520	CisBP	M1515_1.01	6	0.000005976365712348945	0.0021431247444483317	28	AT1G20510,AT1G30620,AT1G45145,AT1G64060,AT2G05380,AT2G13790,AT2G25735,AT2G26530,AT2G33380,AT2G42600,AT2G43340,AT3G13650,AT3G13750,AT3G18200,AT3G20410,AT3G29250,AT3G59220,AT4G01950,AT4G36220,AT5G19110,AT5G19890,AT5G40450,AT5G44420,AT5G47730,AT5G49360,AT5G51070,AT5G60660,AT5G64905	
AT3G12720	ATMYB67	8	na	PWM3277	DAP-seq	MYB67_col	7	0.000005976365712348945	0.0021431247444483317	28	AT1G64060,AT2G05380,AT2G05520,AT2G24850,AT2G30490,AT2G35730,AT2G37040,AT2G43050,AT2G43530,AT2G47650,AT3G01970,AT3G06750,AT3G15840,AT3G20370,AT3G25930,AT3G52430,AT4G12250,AT4G35630,AT4G36220,AT5G02090,AT5G07460,AT5G15490,AT5G24430,AT5G24780,AT5G48930,AT5G49360,AT5G51070,AT5G64905	na
AT1G32640	ATMYC2	4	0	PWM1290	CisBP	M0151_1.01	8	0.000018236761260034288	0.004087314117405184	27	AT1G23720,AT1G30620,AT1G69530,AT1G74440,AT1G75500,AT1G76240,AT2G05520,AT2G20010,AT2G30490,AT2G33380,AT2G37040,AT3G06750,AT3G11340,AT3G13650,AT3G13750,AT3G59220,AT4G01950,AT4G27410,AT4G33300,AT5G19110,AT5G19890,AT5G24140,AT5G24430,AT5G40450,AT5G40760,AT5G48460,AT5G61890	
AT1G32640	ATMYC2	4	0	PWM1426	CisBP	M2229_1.01	9	0.000018236761260034288	0.004087314117405184	27	AT1G23720,AT1G30620,AT1G69530,AT1G74440,AT1G75500,AT1G76240,AT2G05520,AT2G20010,AT2G30490,AT2G33380,AT2G37040,AT3G06750,AT3G11340,AT3G13650,AT3G13750,AT3G59220,AT4G01950,AT4G27410,AT4G33300,AT5G19110,AT5G19890,AT5G24140,AT5G24430,AT5G40450,AT5G40760,AT5G48460,AT5G61890	
AT1G32640	ATMYC2	4	0	PWM2166	JASPAR	MA0566.1	10	0.000018236761260034288	0.004087314117405184	27	AT1G23720,AT1G30620,AT1G69530,AT1G74440,AT1G75500,AT1G76240,AT2G05520,AT2G20010,AT2G30490,AT2G33380,AT2G37040,AT3G06750,AT3G11340,AT3G13650,AT3G13750,AT3G59220,AT4G01950,AT4G27410,AT4G33300,AT5G19110,AT5G19890,AT5G24140,AT5G24430,AT5G40450,AT5G40760,AT5G48460,AT5G61890	
